year,Mean_Yield,Std_Yield,Min_Yield,Max_Yield,N_Trials,N_Locations,N_Genotypes
1989,46.93,11.55,13.17,74.52,1873,24,192
1990,50.38,10.19,19.79,82.41,1267,15,144
1991,48.23,12.35,11.4,81.83,1817,27,180
1992,52.95,10.99,13.93,80.77,2215,30,194
1993,49.53,10.9,13.8,83.28,2029,32,179
1994,56.8,9.09,23.6,86.5,1803,27,178
1995,47.81,10.04,13.8,84.01,1918,26,193
1996,50.65,8.47,21.2,74.3,1588,23,187
1997,53.61,11.92,14.35,79.86,1915,27,184
1998,54.08,12.98,10.47,88.08,1887,31,181
1999,50.82,13.62,10.16,86.63,1934,30,183
2000,49.97,9.94,15.2,76.62,1762,25,173
2001,53.69,13.13,17.43,88.87,1283,21,151
2002,54.53,10.57,17.45,86.92,1549,23,180
2003,48.81,10.16,16.09,84.18,736,14,126
2004,58.95,10.66,29.41,90.88,606,15,171
2005,64.8,12.1,31.0,88.4,387,12,164
2006,57.41,13.71,27.6,90.75,491,12,185
2007,56.53,15.9,14.7,90.46,705,10,229
2008,46.29,13.51,10.55,83.12,876,11,217
2009,63.05,11.54,28.6,94.93,900,15,231
2010,60.29,15.12,20.2,104.6,684,12,137
2011,60.12,19.48,19.96,105.46,668,13,139
2012,52.71,15.53,11.18,91.13,823,16,179
2013,56.21,16.2,22.88,102.66,928,17,161
2014,60.53,13.0,28.01,88.18,696,12,140
2015,60.01,12.33,29.01,95.2,699,11,154
2016,62.08,10.5,28.86,91.39,733,11,169
2017,65.1,12.97,20.34,108.73,1609,20,175
2018,65.33,13.48,15.41,112.39,1346,16,183
2019,64.38,13.54,19.83,99.62,1279,13,233
